Cum GPA,TEAS Count,MaxOfTestScore,failing grade count,Time to Test (days),Completion Time (days),PrecEducDesc,Grade,GradePass,HighSchool,Assoc,Bach,Masters
3.45,2.0,70.0,0,62.57,578.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.5,1.0,86.0,0,50.57,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.93,1.0,78.0,0,63.56,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.98,1.0,70.7,1,104.34,704.0,Bachelors,Fail,0.0,0.0,0.0,1.0,0.0
3.81,1.0,86.0,0,48.32,578.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.31,2.0,75.3,0,98.45,578.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.08,4.0,78.7,0,82.32,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.59,2.0,67.3,2,171.34,473.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.21,3.0,78.0,1,116.55,599.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.25,1.0,73.3,0,28.34,599.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.59,2.0,68.7,0,123.44,599.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.98,1.0,68.7,0,101.57,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.97,1.0,76.7,0,99.0,592.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.91,1.0,93.3,0,59.49,465.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.66,1.0,80.0,0,141.32,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.41,1.0,76.7,1,138.0,711.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.61,1.0,73.3,0,81.0,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.03,3.0,66.0,1,642.5,592.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.43,1.0,80.7,0,90.34,599.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
3.1,1.0,68.0,0,133.5,599.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
3.24,1.0,74.0,0,52.34,466.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.69,2.0,66.0,1,159.0,586.0,High School/GED/Some College,Pass,1.0,1.0,0.0,0.0,0.0
2.83,1.0,78.0,0,175.52,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.45,1.0,84.0,0,82.51,592.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
3.34,1.0,68.7,0,33.33,599.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.95,2.0,68.7,0,55.34,578.0,Associates,Fail,0.0,0.0,1.0,0.0,0.0
3.02,1.0,78.0,0,67.57,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.59,2.0,64.7,0,103.33,473.0,Bachelors,Fail,0.0,0.0,0.0,1.0,0.0
3.27,1.0,73.3,0,54.33,473.0,Bachelors,Pass,1.0,0.0,0.0,1.0,0.0
2.68,4.0,70.0,1,370.0,837.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
2.88,3.0,82.0,0,94.0,466.0,High School/GED/Some College,Fail,0.0,1.0,0.0,0.0,0.0
