,precision,recall,f1-score,support
0.0,0.6470588235294118,0.26506024096385544,0.37606837606837606,83.0
1.0,0.7765567765567766,0.9464285714285714,0.8531187122736418,224.0
accuracy,0.762214983713355,0.762214983713355,0.762214983713355,0.762214983713355
macro avg,0.7118078000430942,0.6057444061962134,0.6145935441710089,307.0
weighted avg,0.7415459293213653,0.762214983713355,0.7241441914103288,307.0
