,Cum GPA,Prediction,Prob
0,2,0,0.626091062
1,2.1,0,0.626091062
2,2.2,0,0.626091062
3,2.3,0,0.626091062
4,2.4,0,0.621314277
5,2.5,0,0.609902589
6,2.6,0,0.597261144
7,2.7,0,0.583294941
8,2.8,0,0.5659799
9,2.9,0,0.548243263
10,3,0,0.506461794
11,3.1,1,0.525513347
12,3.2,1,0.556013994
13,3.3,1,0.604451768
14,3.4,1,0.621087392
15,3.5,1,0.646954623
16,3.6,1,0.663511997
17,3.7,1,0.677238946
18,3.8,1,0.696871521
19,3.9,1,0.724161662
20,4,1,0.748168382
