,precision,recall,f1-score,support
0.0,0.7865168539325843,0.7865168539325843,0.7865168539325842,89.0
1.0,0.7466666666666667,0.7466666666666667,0.7466666666666667,75.0
accuracy,0.7682926829268293,0.7682926829268293,0.7682926829268293,0.7682926829268293
macro avg,0.7665917602996255,0.7665917602996255,0.7665917602996255,164.0
weighted avg,0.7682926829268293,0.7682926829268293,0.7682926829268293,164.0
