,precision,recall,f1-score,support
0.0,0.7204301075268817,0.8375,0.7745664739884393,80.0
1.0,0.8169014084507042,0.6904761904761905,0.7483870967741935,84.0
accuracy,0.7621951219512195,0.7621951219512195,0.7621951219512195,0.7621951219512195
macro avg,0.768665757988793,0.7639880952380953,0.7614767853813164,164.0
weighted avg,0.7698422372683518,0.7621951219512195,0.7611575246835817,164.0
