ID,Cum GPA,TEAS Count,MaxOfTestScore,PrecEducDesc,failing grade count,DateStart,GradDate,Test Delivery Date,Time to Test (days),Completion Time (days),Grade,Qtr,Year
1048,3.22,2,62.7,High School/GED/Some College,0,1/7/2019,4/25/2020,6/12/2020,48.00,474.00,Pass,2020-2,2020
1049,3.63,1,80,High School/GED/Some College,0,5/14/2018,8/17/2019,9/20/2019,34.00,460.00,Pass,2019-3,2019
1050,2.72,1,80,Associates,1,1/7/2019,8/29/2020,12/22/2020,115.35,600.00,Fail,2020-4,2020
1051,3.32,,,High School/GED/Some College,0,5/14/2018,8/17/2019,10/10/2019,54.00,460.00,Pass,2019-4,2019
1052,3.86,1,85.3,High School/GED/Some College,0,9/10/2018,12/21/2019,3/10/2020,80.00,467.00,Pass,2020-1,2020
1053,3.28,1,81.3,High School/GED/Some College,0,5/14/2018,12/21/2019,2/15/2020,56.00,586.00,Pass,2020-1,2020
1054,3.09,2,66,High School/GED/Some College,0,9/10/2018,12/21/2019,6/11/2020,173.00,467.00,Pass,2020-2,2020
1055,3.02,2,70.7,High School/GED/Some College,0,9/10/2018,4/25/2020,10/5/2020,163.00,593.00,Fail,2020-4,2020
1056,3.76,1,87.3,Bachelors,0,9/10/2018,12/21/2019,2/6/2020,47.00,467.00,Pass,2020-1,2020
1057,3.31,1,81.3,High School/GED/Some College,0,5/14/2018,12/21/2019,3/12/2020,82.00,586.00,Fail,2020-1,2020
1058,3.17,,,Bachelors,0,5/14/2018,8/17/2019,10/31/2019,75.00,460.00,Fail,2019-4,2019
1059,2.98,1,74,High School/GED/Some College,0,5/14/2018,8/17/2019,4/3/2020,230.00,460.00,Fail,2020-2,2020
1060,3.74,2,80.7,Associates,0,9/10/2018,4/25/2020,9/24/2020,152.00,593.00,Pass,2020-3,2020
1061,3.33,2,68,High School/GED/Some College,0,5/14/2018,8/17/2019,9/27/2019,41.00,460.00,Pass,2019-3,2019
1062,3.33,1,76.7,High School/GED/Some College,0,5/14/2018,8/17/2019,9/24/2019,38.00,460.00,Pass,2019-3,2019
1063,3.5,1,73.3,Bachelors,0,5/6/2019,8/29/2020,11/25/2020,88.00,481.00,Fail,2020-4,2020
1064,3,1,83.3,High School/GED/Some College,0,5/14/2018,8/17/2019,10/15/2019,59.00,460.00,Fail,2019-4,2019
1065,2.81,2,71.3,High School/GED/Some College,0,9/10/2018,12/21/2019,3/10/2020,80.00,467.00,Pass,2020-1,2020
1066,3.4,1,78,High School/GED/Some College,0,5/14/2018,12/21/2019,3/3/2020,73.00,586.00,Fail,2020-1,2020
1067,3.55,1,68,High School/GED/Some College,0,9/10/2018,12/21/2019,2/6/2020,47.53,467.00,Pass,2020-1,2020
1068,3.43,1,88.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/12/2020,53.00,467.00,Pass,2020-1,2020
1069,3.67,1,77.3,High School/GED/Some College,0,5/14/2018,8/17/2019,10/7/2019,51.04,460.00,Pass,2019-4,2019
1070,2.71,1,83.3,High School/GED/Some College,0,5/14/2018,8/17/2019,11/9/2019,84.00,460.00,Fail,2019-4,2019
1071,3.6,1,69.3,High School/GED/Some College,0,5/14/2018,12/21/2019,7/18/2020,210.00,586.00,Pass,2020-3,2020
1072,3.33,1,74,High School/GED/Some College,0,9/10/2018,12/21/2019,2/13/2020,54.00,467.00,Pass,2020-1,2020
1073,3.26,1,86,Bachelors,0,9/10/2018,4/25/2020,7/15/2020,81.00,593.00,Pass,2020-3,2020
1074,3.34,3,71.3,High School/GED/Some College,0,9/10/2018,4/25/2020,7/15/2020,81.00,593.00,Pass,2020-3,2020
1075,2.72,2,65.3,High School/GED/Some College,0,5/14/2018,8/17/2019,10/23/2019,67.00,460.00,Fail,2019-4,2019
1076,3.07,1,70,High School/GED/Some College,0,9/10/2018,12/21/2019,2/11/2020,52.33,467.00,Pass,2020-1,2020
1077,3.41,2,67.3,High School/GED/Some College,0,9/10/2018,4/25/2020,7/27/2020,93.00,593.00,Pass,2020-3,2020
1078,3.66,1,77.3,High School/GED/Some College,0,9/10/2018,12/21/2019,2/27/2020,68.00,467.00,Pass,2020-1,2020
1079,2.95,1,75.3,High School/GED/Some College,0,5/14/2018,8/17/2019,10/8/2019,52.00,460.00,Pass,2019-4,2019
1080,3.34,1,71.3,High School/GED/Some College,0,1/7/2019,4/25/2020,7/24/2020,90.00,474.00,Pass,2020-3,2020
1081,3.07,3,88.7,High School/GED/Some College,0,9/10/2018,4/25/2020,8/25/2020,122.00,593.00,Pass,2020-3,2020
1082,4,1,93.3,High School/GED/Some College,0,5/14/2018,8/17/2019,9/11/2019,25.00,460.00,Pass,2019-3,2019
1083,2.76,1,68.7,Associates,0,9/10/2018,4/25/2020,7/14/2020,80.00,593.00,Pass,2020-3,2020
1084,3.83,3,80,High School/GED/Some College,0,9/10/2018,4/25/2020,6/20/2020,56.75,593.00,Pass,2020-2,2020
1085,3.31,2,72,High School/GED/Some College,0,9/10/2018,12/21/2019,3/3/2020,73.00,467.00,Pass,2020-1,2020
1086,3.34,3,66,High School/GED/Some College,0,9/10/2018,4/25/2020,7/15/2020,81.00,593.00,Pass,2020-3,2020
1087,3.43,,,High School/GED/Some College,0,5/14/2018,12/21/2019,3/10/2020,80.00,586.00,Pass,2020-1,2020
1088,3.43,1,83.3,High School/GED/Some College,0,5/14/2018,8/17/2019,9/25/2019,39.00,460.00,Pass,2019-3,2019
1089,4,,,Associates,0,5/14/2018,12/21/2019,8/15/2020,238.00,586.00,Pass,2020-3,2020
1090,2.64,4,68,High School/GED/Some College,0,9/10/2018,12/21/2019,4/29/2020,130.00,467.00,Fail,2020-2,2020
1091,2.76,2,72,High School/GED/Some College,0,5/14/2018,12/21/2019,6/9/2020,171.00,586.00,Fail,2020-2,2020
1092,2.55,1,70.7,High School/GED/Some College,0,9/10/2018,12/21/2019,5/21/2020,152.64,467.00,Fail,2020-2,2020
1093,3.6,1,76.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/20/2020,61.04,467.00,Pass,2020-1,2020
1094,3.05,2,70,High School/GED/Some College,0,9/10/2018,12/21/2019,2/22/2020,63.00,467.00,Pass,2020-1,2020
1095,3.15,1,74.7,High School/GED/Some College,0,5/14/2018,8/17/2019,10/3/2019,47.34,460.00,Fail,2019-4,2019
1096,3.21,1,76.7,High School/GED/Some College,0,5/14/2018,8/17/2019,12/5/2019,110.32,460.00,Pass,2019-4,2019
1097,3.34,1,84,Bachelors,0,1/7/2019,8/29/2020,10/28/2020,60.00,600.00,Pass,2020-4,2020
1098,2.77,,,High School/GED/Some College,0,1/7/2019,4/25/2020,7/30/2020,96.00,474.00,Pass,2020-3,2020
1099,2.66,4,76,Associates,0,5/6/2019,8/29/2020,12/8/2020,101.53,481.00,Fail,2020-4,2020
1100,2.31,3,69.3,High School/GED/Some College,2,5/14/2018,4/25/2020,8/14/2020,111.00,712.00,Fail,2020-3,2020
1101,3.57,1,85.3,High School/GED/Some College,0,9/10/2018,12/21/2019,2/20/2020,61.56,467.00,Pass,2020-1,2020
1102,2.7,1,81.3,High School/GED/Some College,1,1/7/2019,8/29/2020,9/24/2020,26.00,600.00,Pass,2020-3,2020
1103,3.03,,,High School/GED/Some College,1,9/10/2018,4/25/2020,6/27/2020,63.00,593.00,Pass,2020-2,2020
1104,2.48,3,65.3,High School/GED/Some College,0,9/10/2018,4/25/2020,6/25/2020,61.00,593.00,Fail,2020-2,2020
1105,2.95,3,65.3,High School/GED/Some College,0,9/10/2018,4/25/2020,9/23/2020,151.00,593.00,Pass,2020-3,2020
1106,3.33,,,Bachelors,0,5/14/2018,12/21/2019,3/28/2020,98.00,586.00,Fail,2020-1,2020
1107,3.15,1,68.7,High School/GED/Some College,0,9/10/2018,12/21/2019,3/11/2020,81.00,467.00,Pass,2020-1,2020
1108,3.1,1,82.7,High School/GED/Some College,0,5/14/2018,8/17/2019,10/23/2019,67.00,460.00,Pass,2019-4,2019
1109,3.07,1,74,High School/GED/Some College,0,5/14/2018,12/21/2019,3/12/2020,82.00,586.00,Pass,2020-1,2020
1110,2.95,2,72,High School/GED/Some College,0,5/14/2018,8/17/2019,10/1/2019,45.00,460.00,Pass,2019-4,2019
1111,3.15,1,89.3,High School/GED/Some College,0,5/14/2018,8/17/2019,12/10/2019,115.00,460.00,Fail,2019-4,2019
1112,2.84,2,81.3,High School/GED/Some College,0,9/10/2018,12/21/2019,3/11/2020,81.00,467.00,Fail,2020-1,2020
1113,2.76,1,69.3,High School/GED/Some College,0,5/14/2018,12/21/2019,3/10/2020,80.32,586.00,Fail,2020-1,2020
1114,2.98,1,74,High School/GED/Some College,0,9/10/2018,12/21/2019,2/13/2020,54.00,467.00,Pass,2020-1,2020
1115,3.4,1,71.3,High School/GED/Some College,0,9/10/2018,12/21/2019,2/11/2020,52.00,467.00,Pass,2020-1,2020
1116,3.6,4,64.7,Masters,0,1/7/2019,8/29/2020,11/25/2020,88.00,600.00,Pass,2020-4,2020
1117,3.91,1,86.7,High School/GED/Some College,0,5/14/2018,8/17/2019,9/20/2019,34.00,460.00,Pass,2019-3,2019
1118,3.48,2,72.7,High School/GED/Some College,0,9/10/2018,4/25/2020,7/28/2020,94.00,593.00,Pass,2020-3,2020
1119,3.13,1,78.7,High School/GED/Some College,0,9/10/2018,12/21/2019,4/7/2020,108.50,467.00,Pass,2020-2,2020
1120,2.91,1,70.7,High School/GED/Some College,0,9/10/2018,4/25/2020,7/16/2020,82.00,593.00,Pass,2020-3,2020
