ID,Cum GPA,TEAS Count,MaxOfTestScore,PrecEducDesc,failing grade count,DateStart,GradDate,Test Delivery Date,Time to Test (days),Completion Time (days),Grade,Qtr,Year
1209,3.1,1,66.7,High School/GED/Some College,0,9/10/2018,4/25/2020,9/24/2020,152.00,593.00,Pass,2020-3,2020
1210,3.12,1,72,High School/GED/Some College,0,9/10/2018,12/21/2019,4/7/2020,108.00,467.00,Fail,2020-2,2020
1211,3.21,1,74.7,Bachelors,0,9/10/2018,4/25/2020,9/22/2020,150.00,593.00,Fail,2020-3,2020
1212,2.6,2,73.3,High School/GED/Some College,0,9/10/2018,4/25/2020,7/1/2020,67.00,593.00,Pass,2020-3,2020
1213,3.33,1,76.7,High School/GED/Some College,0,9/10/2018,12/21/2019,2/5/2020,46.00,467.00,Pass,2020-1,2020
1214,3.24,2,68,High School/GED/Some College,0,1/7/2019,8/29/2020,11/5/2020,68.00,600.00,Pass,2020-4,2020
1215,3.02,3,70,High School/GED/Some College,0,9/10/2018,4/25/2020,8/28/2020,125.00,593.00,Pass,2020-3,2020
1216,2.74,2,65.3,High School/GED/Some College,0,1/7/2019,4/25/2020,6/28/2020,64.51,474.00,Pass,2020-2,2020
1217,2.47,1,74,High School/GED/Some College,0,9/10/2018,4/25/2020,9/12/2020,140.00,593.00,Pass,2020-3,2020
1218,3.43,1,82,High School/GED/Some College,0,9/10/2018,12/21/2019,2/6/2020,47.00,467.00,Pass,2020-1,2020
1219,2.67,1,76.7,High School/GED/Some College,0,9/10/2018,4/25/2020,9/22/2020,150.00,593.00,Fail,2020-3,2020
1220,3.84,1,88,High School/GED/Some College,0,9/10/2018,12/21/2019,6/8/2020,170.00,467.00,Pass,2020-2,2020
1221,3.86,1,90,Bachelors,0,1/7/2019,8/29/2020,12/12/2020,105.00,600.00,Pass,2020-4,2020
1222,2.84,1,87.3,High School/GED/Some College,0,9/10/2018,12/21/2019,3/10/2020,80.00,467.00,Fail,2020-1,2020
1223,3.53,1,85.3,High School/GED/Some College,1,9/10/2018,12/21/2019,6/10/2020,172.00,467.00,Pass,2020-2,2020
1224,3.38,1,76,High School/GED/Some College,0,9/10/2018,4/25/2020,9/24/2020,152.00,593.00,Pass,2020-3,2020
1225,4,1,90,High School/GED/Some College,0,9/10/2018,12/21/2019,2/13/2020,54.00,467.00,Pass,2020-1,2020
1226,3.29,1,81.3,High School/GED/Some College,0,1/7/2019,4/25/2020,9/8/2020,136.00,474.00,Fail,2020-3,2020
1227,4,1,93.3,High School/GED/Some College,0,9/10/2018,12/21/2019,2/11/2020,52.00,467.00,Pass,2020-1,2020
1228,2.78,1,68,High School/GED/Some College,0,5/6/2019,8/29/2020,11/19/2020,82.53,481.00,Fail,2020-4,2020
1229,3.29,1,80.7,Associates,0,9/10/2018,8/29/2020,12/23/2020,116.00,719.00,Fail,2020-4,2020
1230,2.64,1,68.7,High School/GED/Some College,0,9/10/2018,4/25/2020,9/1/2020,129.00,593.00,Fail,2020-3,2020
1231,3.51,1,88,High School/GED/Some College,0,9/10/2018,12/21/2019,2/6/2020,47.00,467.00,Pass,2020-1,2020
1232,3.38,1,78,High School/GED/Some College,0,1/7/2019,4/25/2020,8/19/2020,116.00,474.00,Pass,2020-3,2020
1233,2.79,1,70.7,High School/GED/Some College,0,9/10/2018,4/25/2020,8/29/2020,126.00,593.00,Pass,2020-3,2020
1234,3.05,2,70.7,High School/GED/Some College,0,1/7/2019,8/29/2020,10/27/2020,59.00,600.00,Fail,2020-4,2020
1235,2.91,1,71.3,High School/GED/Some College,0,9/10/2018,4/25/2020,8/10/2020,107.00,593.00,Pass,2020-3,2020
1236,3.19,,,High School/GED/Some College,0,1/7/2019,4/25/2020,6/30/2020,66.00,474.00,Pass,2020-2,2020
1237,2.98,1,71.3,High School/GED/Some College,0,9/10/2018,4/25/2020,9/24/2020,152.00,593.00,Fail,2020-3,2020
1238,2.98,1,77.3,High School/GED/Some College,0,1/7/2019,4/25/2020,6/5/2020,41.00,474.00,Pass,2020-2,2020
1239,3.43,1,75.3,High School/GED/Some College,0,1/7/2019,4/25/2020,7/18/2020,84.00,474.00,Pass,2020-3,2020
1240,3.29,1,76,High School/GED/Some College,0,9/10/2018,12/21/2019,1/25/2020,35.00,467.00,Pass,2020-1,2020
1241,2.76,3,64.7,High School/GED/Some College,1,9/10/2018,4/25/2020,8/8/2020,105.00,593.00,Fail,2020-3,2020
1242,3.4,2,65.3,Associates,0,1/7/2019,8/29/2020,12/10/2020,103.00,600.00,Pass,2020-4,2020
1243,2.66,1,69.3,High School/GED/Some College,0,1/7/2019,4/25/2020,7/7/2020,73.00,474.00,Fail,2020-3,2020
1244,3.6,1,76,High School/GED/Some College,0,1/7/2019,4/25/2020,7/21/2020,87.00,474.00,Pass,2020-3,2020
1245,3.43,2,78,High School/GED/Some College,0,1/7/2019,4/25/2020,7/11/2020,77.00,474.00,Pass,2020-3,2020
1246,3.86,1,76,Bachelors,0,1/7/2019,8/29/2020,11/16/2020,79.00,600.00,Pass,2020-4,2020
1247,3.09,4,73.3,High School/GED/Some College,0,9/10/2018,4/25/2020,7/11/2020,77.00,593.00,Pass,2020-3,2020
1248,2.78,1,70,High School/GED/Some College,0,9/10/2018,4/25/2020,8/27/2020,124.00,593.00,Pass,2020-3,2020
1249,3.91,1,90.7,High School/GED/Some College,0,1/7/2019,4/25/2020,7/11/2020,77.00,474.00,Pass,2020-3,2020
1250,3.12,1,74.7,High School/GED/Some College,0,1/7/2019,4/25/2020,7/22/2020,88.00,474.00,Fail,2020-3,2020
1251,3.52,2,75.3,Associates,0,1/7/2019,8/29/2020,11/12/2020,75.00,600.00,Pass,2020-4,2020
1252,3.92,1,92.7,High School/GED/Some College,0,1/7/2019,4/25/2020,7/9/2020,75.00,474.00,Pass,2020-3,2020
1253,2.83,1,68.7,High School/GED/Some College,1,9/10/2018,8/29/2020,11/17/2020,80.00,719.00,Pass,2020-4,2020
1254,3.5,1,74.7,Masters,0,1/7/2019,4/25/2020,9/4/2020,132.00,474.00,Fail,2020-3,2020
1255,4,1,82.7,High School/GED/Some College,0,1/7/2019,4/25/2020,6/20/2020,56.00,474.00,Pass,2020-2,2020
1256,3.21,1,72.3,High School/GED/Some College,1,1/7/2019,4/25/2020,7/27/2020,93.00,474.00,Pass,2020-3,2020
1257,2.74,1,79.3,High School/GED/Some College,0,1/7/2019,4/25/2020,8/14/2020,111.00,474.00,Pass,2020-3,2020
1258,3.14,,,Associates,0,1/7/2019,4/25/2020,8/8/2020,105.00,474.00,Pass,2020-3,2020
1259,3.69,1,69.3,Associates,0,1/7/2019,8/29/2020,10/26/2020,58.00,600.00,Pass,2020-4,2020
1260,2.86,4,79.3,High School/GED/Some College,1,1/7/2019,8/29/2020,11/12/2020,75.52,600.00,Fail,2020-4,2020
1261,3.19,1,74,High School/GED/Some College,0,1/7/2019,4/25/2020,7/30/2020,96.00,474.00,Pass,2020-3,2020
1262,2.64,,,High School/GED/Some College,0,1/7/2019,4/25/2020,7/28/2020,94.00,474.00,Fail,2020-3,2020
1263,3.34,1,80,High School/GED/Some College,0,1/7/2019,4/25/2020,9/9/2020,137.00,474.00,Pass,2020-3,2020
1264,2.67,1,76.7,High School/GED/Some College,0,1/7/2019,4/25/2020,7/13/2020,79.00,474.00,Pass,2020-3,2020
1265,2.68,2,69.3,High School/GED/Some College,0,1/7/2019,4/25/2020,9/23/2020,151.00,474.00,Fail,2020-3,2020
1266,3.66,1,89.3,Bachelors,0,5/6/2019,8/29/2020,11/17/2020,80.35,481.00,Pass,2020-4,2020
1267,2.79,2,65.3,Associates,0,1/7/2019,8/29/2020,10/16/2020,48.00,600.00,Pass,2020-4,2020
1268,3.34,2,69.3,High School/GED/Some College,0,5/6/2019,8/29/2020,10/20/2020,52.32,481.00,Pass,2020-4,2020
1269,2.95,1,72,High School/GED/Some College,0,1/7/2019,4/25/2020,7/18/2020,84.00,474.00,Pass,2020-3,2020
1270,3.83,1,90,High School/GED/Some College,0,1/7/2019,4/25/2020,7/1/2020,67.00,474.00,Pass,2020-3,2020
1271,2.76,1,68,High School/GED/Some College,1,1/7/2019,8/29/2020,10/23/2020,55.00,600.00,Fail,2020-4,2020
1272,2.95,1,77.3,High School/GED/Some College,0,1/7/2019,4/25/2020,7/25/2020,91.00,474.00,Pass,2020-3,2020
1273,2.55,2,67.3,High School/GED/Some College,0,1/7/2019,4/25/2020,9/28/2020,156.00,474.00,Pass,2020-3,2020
1274,2.86,1,69.3,Bachelors,0,1/7/2019,8/29/2020,12/2/2020,95.00,600.00,Pass,2020-4,2020
1275,3.34,1,75.3,High School/GED/Some College,0,1/7/2019,4/25/2020,9/8/2020,136.00,474.00,Pass,2020-3,2020
1276,3.67,1,76,Bachelors,0,5/6/2019,8/29/2020,11/2/2020,65.00,481.00,Pass,2020-4,2020
1277,3.19,1,83.3,High School/GED/Some College,0,1/7/2019,4/25/2020,8/5/2020,102.00,474.00,Pass,2020-3,2020
1278,3.62,1,71.3,Bachelors,0,1/7/2019,8/29/2020,9/25/2020,27.00,600.00,Fail,2020-3,2020
1279,3.19,1,83.3,Bachelors,0,1/7/2019,8/29/2020,10/28/2020,60.33,600.00,Pass,2020-4,2020
1280,3.43,1,82.7,High School/GED/Some College,0,1/7/2019,4/25/2020,8/4/2020,101.00,474.00,Pass,2020-3,2020
1281,3.91,2,85.3,Associates,0,1/7/2019,8/29/2020,12/2/2020,95.00,600.00,Pass,2020-4,2020
1282,4,1,95.3,High School/GED/Some College,0,1/7/2019,4/25/2020,7/1/2020,67.00,474.00,Pass,2020-3,2020
1283,2.91,1,70,Associates,0,5/6/2019,8/29/2020,12/11/2020,104.08,481.00,Fail,2020-4,2020
1284,3.62,1,84.7,High School/GED/Some College,0,5/6/2019,8/29/2020,10/6/2020,38.56,481.00,Pass,2020-4,2020
1285,3.24,1,66,High School/GED/Some College,0,1/7/2019,4/25/2020,7/25/2020,91.00,474.00,Pass,2020-3,2020
1286,3.52,1,78.7,High School/GED/Some College,0,1/7/2019,4/25/2020,6/1/2020,37.00,474.00,Pass,2020-2,2020
1287,3.24,1,70.7,Associates,0,1/7/2019,8/29/2020,10/12/2020,44.00,600.00,Pass,2020-4,2020
1288,3.07,1,67.3,High School/GED/Some College,0,1/7/2019,4/25/2020,10/15/2020,173.00,474.00,Pass,2020-4,2020
1289,3.91,1,89.3,Masters,0,1/7/2019,4/25/2020,7/22/2020,88.00,474.00,Pass,2020-3,2020
1290,2.84,1,78.7,High School/GED/Some College,0,5/6/2019,8/29/2020,11/20/2020,83.00,481.00,Pass,2020-4,2020
1291,2.6,1,70,Bachelors,0,1/7/2019,8/29/2020,11/12/2020,75.00,600.00,Fail,2020-4,2020
1292,3.12,1,78.7,High School/GED/Some College,0,5/6/2019,8/29/2020,11/25/2020,88.00,481.00,Fail,2020-4,2020
1293,3.69,1,75.3,Associates,0,1/7/2019,4/25/2020,7/25/2020,91.00,474.00,Pass,2020-3,2020
1294,2.9,1,79.3,High School/GED/Some College,0,1/7/2019,4/25/2020,9/9/2020,137.00,474.00,Pass,2020-3,2020
1295,3.38,1,77.3,High School/GED/Some College,0,1/7/2019,4/25/2020,8/4/2020,101.00,474.00,Pass,2020-3,2020
1296,2.53,1,66,High School/GED/Some College,0,1/7/2019,4/25/2020,7/10/2020,76.00,474.00,Pass,2020-3,2020
1297,3.02,3,68,High School/GED/Some College,0,1/7/2019,4/25/2020,7/14/2020,80.00,474.00,Pass,2020-3,2020
1298,3.16,1,76,High School/GED/Some College,0,1/7/2019,4/25/2020,7/6/2020,72.00,474.00,Pass,2020-3,2020
1299,3.53,1,70.7,High School/GED/Some College,0,1/7/2019,4/25/2020,8/17/2020,114.00,474.00,Pass,2020-3,2020
1300,3.33,1,76.7,High School/GED/Some College,0,1/7/2019,8/29/2020,12/5/2020,98.53,600.00,Pass,2020-4,2020
1301,3.29,1,78.7,High School/GED/Some College,0,1/7/2019,4/25/2020,9/24/2020,152.00,474.00,Pass,2020-3,2020
1302,2.69,1,74.7,High School/GED/Some College,0,1/7/2019,8/29/2020,12/3/2020,96.00,600.00,Fail,2020-4,2020
1303,3.3,1,78.7,High School/GED/Some College,0,1/7/2019,4/25/2020,7/16/2020,82.00,474.00,Pass,2020-3,2020
1304,2.93,1,78,Associates,0,1/7/2019,4/25/2020,8/21/2020,118.00,474.00,Pass,2020-3,2020
1305,3.61,1,80,High School/GED/Some College,0,1/7/2019,4/25/2020,7/16/2020,82.00,474.00,Pass,2020-3,2020
1306,3.02,2,70.7,High School/GED/Some College,0,5/6/2019,8/29/2020,12/8/2020,101.33,481.00,Pass,2020-4,2020
1307,3.22,2,79.3,High School/GED/Some College,0,1/7/2019,4/25/2020,7/23/2020,89.00,474.00,Fail,2020-3,2020
1308,3.48,1,83.3,High School/GED/Some College,0,1/7/2019,8/29/2020,10/14/2020,46.00,600.00,Pass,2020-4,2020
1309,2.95,1,80.7,Associates,0,5/6/2019,8/29/2020,12/2/2020,95.00,481.00,Fail,2020-4,2020
1310,4,1,88,Bachelors,0,1/7/2019,8/29/2020,10/5/2020,37.00,600.00,Pass,2020-4,2020
1311,2.95,1,73.3,Associates,0,5/6/2019,8/29/2020,11/12/2020,75.00,481.00,Pass,2020-4,2020
1312,3.18,1,68.7,High School/GED/Some College,0,5/6/2019,8/29/2020,11/25/2020,88.33,481.00,Fail,2020-4,2020
1313,3.92,1,90.7,High School/GED/Some College,0,1/7/2019,4/25/2020,6/27/2020,63.00,474.00,Pass,2020-2,2020
1314,3.12,1,78.7,High School/GED/Some College,0,1/7/2019,8/29/2020,10/30/2020,62.00,600.00,Fail,2020-4,2020
1315,3.28,1,86,High School/GED/Some College,0,1/7/2019,4/25/2020,7/18/2020,84.00,474.00,Pass,2020-3,2020
1316,2.93,1,88.7,High School/GED/Some College,0,5/6/2019,8/29/2020,10/16/2020,48.00,481.00,Pass,2020-4,2020
1317,3.4,1,58,High School/GED/Some College,0,5/6/2019,8/29/2020,10/5/2020,37.00,481.00,Pass,2020-4,2020
1318,3.26,1,71.3,High School/GED/Some College,0,1/7/2019,4/25/2020,7/14/2020,80.00,474.00,Pass,2020-3,2020
1319,3.52,2,74,High School/GED/Some College,0,5/6/2019,8/29/2020,11/25/2020,88.00,481.00,Pass,2020-4,2020
1320,3.28,2,75.3,High School/GED/Some College,0,5/6/2019,8/29/2020,11/25/2020,88.54,481.00,Pass,2020-4,2020
1321,3.25,2,70,Associates,0,5/6/2019,8/29/2020,10/21/2020,53.00,481.00,Pass,2020-4,2020
1322,2.85,1,77.3,Bachelors,0,1/7/2019,8/29/2020,11/19/2020,82.00,600.00,Pass,2020-4,2020
1323,2.97,2,74.7,Associates,0,5/6/2019,8/29/2020,11/16/2020,79.00,481.00,Fail,2020-4,2020
1324,3.1,3,76.7,High School/GED/Some College,0,5/6/2019,8/29/2020,11/16/2020,79.00,481.00,Pass,2020-4,2020
1325,3.25,1,83.3,Associates,0,5/6/2019,8/29/2020,11/13/2020,76.00,481.00,Pass,2020-4,2020
1326,3.19,1,77.3,High School/GED/Some College,0,5/6/2019,8/29/2020,10/10/2020,42.46,481.00,Pass,2020-4,2020
1327,3.52,1,72,Associates,0,5/6/2019,8/29/2020,11/19/2020,82.00,481.00,Pass,2020-4,2020
1328,3.54,2,70.7,High School/GED/Some College,0,5/6/2019,8/29/2020,12/4/2020,97.00,481.00,Pass,2020-4,2020
1329,3.95,1,86,Bachelors,0,5/6/2019,8/29/2020,12/8/2020,101.53,481.00,Pass,2020-4,2020
1330,3.64,1,77.3,Bachelors,0,5/6/2019,8/29/2020,9/25/2020,27.00,481.00,Pass,2020-3,2020
1331,3.43,1,78,Bachelors,0,5/6/2019,8/29/2020,11/17/2020,80.00,481.00,Pass,2020-4,2020
1332,3.43,1,88,Bachelors,0,5/6/2019,8/29/2020,11/9/2020,72.00,481.00,Pass,2020-4,2020
1333,3.78,1,80.7,Bachelors,0,5/6/2019,8/29/2020,9/26/2020,28.00,481.00,Pass,2020-3,2020
